classlabel,lowerclass,lowerclasslabel,broader,lowerclassbroaderlabel,upperclasslabel
OndersteunendWaterdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOndersteunendWaterdeel_slik,slik,,,OndersteunendWaterdeel
OndersteunendWaterdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOndersteunendWaterdeel_transitie,transitie,,,OndersteunendWaterdeel
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_gesloten_verharding,gesloten verharding,,,OndersteunendWegdeel
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_cementbeton,cementbeton,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_gesloten_verharding,gesloten verharding,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_asfalt,asfalt,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_gesloten_verharding,gesloten verharding,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_groenvoorziening,groenvoorziening,,,OndersteunendWegdeel
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_bodembedekkers,bodembedekkers,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_groenvoorziening,groenvoorziening,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_bosplantsoen,bosplantsoen,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_groenvoorziening,groenvoorziening,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_gras_en_kruidachtigen,gras- en kruidachtigen,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_groenvoorziening,groenvoorziening,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_heesters,heesters,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_groenvoorziening,groenvoorziening,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_planten,planten,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_groenvoorziening,groenvoorziening,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_struikrozen,struikrozen,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_groenvoorziening,groenvoorziening,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_half_verhard,half verhard,,,OndersteunendWegdeel
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_grasklinkers,grasklinkers,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_half_verhard,half verhard,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_gravel,gravel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_half_verhard,half verhard,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_grind,grind,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_half_verhard,half verhard,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_puin,puin,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_half_verhard,half verhard,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_schelpen,schelpen,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_half_verhard,half verhard,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_onverhard,onverhard,,,OndersteunendWegdeel
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_boomschors,boomschors,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_onverhard,onverhard,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_zand,zand,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_onverhard,onverhard,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_open_verharding,open verharding,,,OndersteunendWegdeel
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_beton_element,beton element,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_open_verharding,open verharding,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_betonstraatstenen,betonstraatstenen,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_open_verharding,open verharding,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_gebakken_klinkers,gebakken klinkers,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_open_verharding,open verharding,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_sierbestrating,sierbestrating,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_open_verharding,open verharding,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeelPlus_tegels,tegels,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_open_verharding,open verharding,
OndersteunendWegdeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOndersteunendWegdeel_transitie,transitie,,,OndersteunendWegdeel
